book_id,title,author,isbn,genre,publisher,year_published,total_copies
320,Balanced asynchronous ability,Stephen Carpenter,978-1-04-938222-7,Thriller,"Campbell, Yang and Fuller",2018,15.0
25,Persistent attitude-oriented adapter,Jon Aguilar,978-1-60045-090-7,Science Fiction,Long LLC,2023,12.0
318,Seamless client-server moratorium,Jennifer Le,978-0-9739618-7-4,Thriller,Simon-Anderson,2021,16.0
494,User-centric secondary Graphical User Interface,Erin Johnson,978-0-8402-2076-9,Thriller,Simon-Anderson,2015,17.0
162,Optimized zero tolerance emulation,Patrick Dickerson,978-1-76114-846-0,Business,Baker-Smith,2008,19.0
463,Synchronized encompassing neural-net,James Atkinson,978-1-4068-1841-3,Romance,"Anderson, Potter and Green",2024,20.0
458,Profound executive Graphic Interface,Jared Carpenter,978-0-12-314986-2,Psychology,Morgan Inc,1997,11.0
495,Centralized cohesive framework,Lauren Washington,978-1-332-26314-1,Mystery,Brock-Edwards,2017,19.0
227,Vision-oriented needs-based matrix,Tammy Strickland,978-1-4275-4239-7,Self-Help,"Lyons, Ashley and Thomas",2004,16.0
114,Switchable responsive groupware,Cynthia Hughes,978-0-221-79055-3,Horror,"Anderson, Potter and Green",2004,16.0
223,Ameliorated fresh-thinking system engine,Kevin Cooper,978-1-83803-717-8,Fantasy,Long LLC,2020,
431,Proactive background forecast,Robert Oneill,978-0-370-82183-2,Business,Cohen LLC,1997,
56,Multi-lateral intermediate analyzer,Jessica Williams,978-1-60827-366-9,Psychology,"Watson, Cole and Lee",2005,16.0
336,Customer-focused multi-tasking paradigm,Jack Wilson,978-1-945922-96-1,Psychology,"Beck, Matthews and Sims",2010,16.0
209,Integrated contextually-based archive,Tanner Rhodes,978-0-531-15878-4,Self-Help,"Lyons, Ashley and Thomas",2011,7.0
384,Team-oriented didactic contingency,Kristen Coleman,978-0-599-29033-4,Thriller,Morgan Inc,2015,14.0
24,Reduced cohesive focus group,Bradley Robertson,978-0-662-87400-3,Science Fiction,Fowler Ltd,2023,9.0
116,Monitored full-range synergy,Shaun Bell,978-1-57175-626-8,Romance,Castro-Torres,2006,17.0
43,Inverse mission-critical matrix,Christine Hall,978-0-04-536136-6,Romance,"Anderson, Potter and Green",1998,
66,Ergonomic content-based neural-net,Kevin Bowman,978-1-5027-2234-8,Psychology,Gonzalez-Grant,2014,16.0
359,Extended zero tolerance structure,Alyssa Newman,978-0-545-01983-5,Young Adult,"Watson, Cole and Lee",2021,10.0
337,Robust static functionalities,Stephanie Kelly,978-1-190-52829-1,Fantasy,Long LLC,2002,5.0
323,Operative methodical algorithm,Anthony Jordan,978-0-597-95385-9,Historical Fiction,Robertson PLC,2013,7.0
500,Vision-oriented optimal support,Gary Hall,978-0-7531-7720-4,Business,Gonzalez-Grant,2012,7.0
259,Managed disintermediate migration,Alexis Mckay,978-1-56708-268-5,Business,"Campbell, Yang and Fuller",2003,11.0
421,Reverse-engineered empowering projection,Steve Collins,978-1-249-96759-0,Young Adult,Castro-Torres,2000,7.0
311,Decentralized eco-centric installation,Tonya Harper,978-1-5070-1897-2,Mystery,Brock-Edwards,1997,5.0
